feature,missing_count,missing_rate,mean,std,min,q25,median,q75,max,pass_mean,fail_mean,cohen_signed,cohen_abs
sensor_059,7,0.004467134652201659,2.9602414743589747,9.532219593731654,-28.9882,-1.871575,0.9472499999999999,4.385225,168.1455,2.563464217032967,8.515123076923079,0.6318883617175256,0.6318883617175256
sensor_103,2,0.0012763241863433313,-0.009789073482428114,0.0030645488768766076,-0.0329,-0.0118,-0.0101,-0.0082,0.0203,-0.009912662559890486,-0.008052884615384615,0.6137306172722624,0.6137306172722624
sensor_510,2,0.0012763241863433313,55.76350843450479,37.691735602274036,0.0,35.3222,46.9861,64.2487,451.4851,54.44059137577002,74.34794903846154,0.5326253472066259,0.5326253472066259
sensor_348,24,0.015315890236119975,0.02470570317563189,0.011862481313499937,0.0103,0.018,0.0226,0.0273,0.22,0.024290687977762338,0.03044807692307692,0.5233493063613629,0.5233493063613629
sensor_158,1429,0.9119336311423102,1039.6507376811596,406.84881031719414,234.0996,721.67505,1020.30005,1277.750125,2505.2998,1027.4569415384617,1237.7999249999998,0.5189442467340689,0.5189442467340689
sensor_111,1018,0.6496490108487556,231.81889763205828,2.105317916257847,213.0083,230.3738,231.2012,233.0361,236.9546,231.8765227360308,230.82198333333332,-0.503716906683554,0.503716906683554
sensor_431,2,0.0012763241863433313,22.358304920127793,36.39540753203448,0.0,11.059,16.381,21.7652,400.0,21.191220656634744,38.92410291262136,0.4906690470832769,0.4906690470832769
sensor_293,1429,0.9119336311423102,335.55115652173913,137.69248302875377,82.3233,229.80945,317.8671,403.9893,879.226,331.65455461538465,398.87093749999997,0.4895977829103331,0.4895977829103331
sensor_085,1341,0.8557753669432036,0.11278318584070797,0.0029283261097954464,0.1053,0.110725,0.11355000000000001,0.1149,0.1184,0.11285162790697674,0.11144545454545454,-0.4817187610237427,0.4817187610237427
sensor_434,2,0.0012763241863433313,14.733945495207667,34.10885406654277,0.0,7.5507,10.1977,12.7542,400.0,13.719237346101233,29.136890291262137,0.45473574673472505,0.45473574673472505
sensor_430,2,0.0012763241863433313,18.421600063897763,36.06008447354801,0.0,6.9997,11.1056,17.4231,400.0,17.368449863201093,33.37019805825243,0.44632227186392076,0.44632227186392076
sensor_435,2,0.0012763241863433313,9.370665559105431,34.369788819490914,0.0,3.4944,4.5511,5.8228,400.0,8.376003761969903,23.489068932038833,0.4422169456909438,0.4422169456909438
sensor_021,2,0.0012763241863433313,-5618.393610223642,626.8221783421311,-7150.25,-5933.25,-5523.25,-5356.25,0.0,-5636.437585499316,-5362.27427184466,0.4398423132827825,0.4398423132827825
sensor_028,2,0.0012763241863433313,69.49953233226836,3.4611809382184786,59.4,67.3778,69.1556,72.2667,77.9,69.59803235294117,68.10140582524271,-0.4347730102820626,0.4347730102820626
sensor_436,2,0.0012763241863433313,7.513266325878594,34.55780389217089,0.0,1.9509,2.7643,3.8222,400.0,6.5329430232558146,21.42814660194175,0.4333687972508609,0.4333687972508609
sensor_129,9,0.00574345883854499,-0.5542283055198973,1.2204787495960854,-3.779,-0.8988,-0.1419,0.0473,2.458,-0.5879594222833563,-0.08264134615384615,0.41612901788255435,0.41612901788255435
sensor_298,2,0.0012763241863433313,0.06380447284345048,0.06422486764861536,0.0,0.0407,0.0528,0.0692,0.5264,0.06205738714090288,0.08860291262135922,0.41537806221745266,0.41537806221745266
sensor_210,24,0.015315890236119975,0.08886578094620869,0.04206453963808064,0.0319,0.0656,0.0797,0.09945000000000001,0.5164,0.08770653231410702,0.10490576923076925,0.41091091093472754,0.41091091093472754
sensor_163,2,0.0012763241863433313,0.14020447284345047,0.12198898992468678,0.0,0.091,0.12,0.154,0.957,0.13695690834473323,0.18630097087378641,0.406417394548065,0.406417394548065
sensor_124,9,0.00574345883854499,15.794704749679074,0.11414369186392438,15.43,15.7225,15.78,15.87,16.1,15.791836313617608,15.834807692307692,0.3780200528515591,0.3780200528515591
sensor_295,2,0.0012763241863433313,252.99911814696486,283.5307018043663,0.0,130.2203,195.8256,273.9526,2005.8744,246.0590158002736,351.5081436893204,0.3733875223789499,0.3733875223789499
sensor_160,2,0.0012763241863433313,555.3463258785943,574.8085883403089,0.0,295.0,438.0,625.0,4170.0,541.6046511627907,750.3980582524272,0.36460660042202286,0.36460660042202286
sensor_316,1,0.0006381620931716656,5.976977011494252,1.0186291821386317,2.7882,5.301525,5.8315,6.5478000000000005,13.0958,6.00126073871409,5.635603846153846,-0.36029796410700526,0.36029796410700526
sensor_164,2,0.0012763241863433313,0.12794249201277955,0.24253363310452541,0.0,0.068,0.089,0.116,1.817,0.12227633378932969,0.20836893203883497,0.3562417946577164,0.3562417946577164
sensor_299,2,0.0012763241863433313,0.06026683706070288,0.13082538246147596,0.0,0.0302,0.04,0.052,1.0312,0.0572109439124487,0.10364271844660194,0.3561834573317633,0.3561834573317633
sensor_300,2,0.0012763241863433313,0.1183861980830671,0.2191471659850006,0.0,0.0589,0.0828,0.1155,1.8123,0.11345389876880986,0.18839611650485438,0.3430992440811556,0.3430992440811556
sensor_121,9,0.00574345883854499,15.796424903722723,0.0996177237680075,15.46,15.73,15.79,15.86,16.07,15.794160935350757,15.828076923076923,0.3415883678613662,0.3415883678613662
sensor_165,2,0.0012763241863433313,0.2520255591054313,0.4073293242260462,0.0,0.132,0.184,0.255,3.286,0.2429199726402189,0.3812718446601942,0.34075889414066207,0.34075889414066207
sensor_125,9,0.00574345883854499,1.1849557124518615,0.2805546877108019,0.3122,0.9744,1.144,1.338,2.465,1.191248280605227,1.0969807692307691,-0.3370843753120338,0.3370843753120338
sensor_294,2,0.0012763241863433313,401.81475022364225,477.0500761816525,0.0,185.0898,278.6719,428.5545,3933.755,391.41829110807106,549.3839077669903,0.33214636038808965,0.33214636038808965
sensor_026,2,0.0012763241863433313,1.938476805111821,0.18949504806307088,0.0,1.9065,1.9865,2.0032,2.0528,1.9425754445964432,1.8803,-0.3296307861706604,0.3296307861706604
sensor_033,1,0.0006381620931716656,8.960278544061303,1.3444563668120262,7.6032,8.58,8.7698,9.0606,23.3453,8.93126176470588,9.3681875,0.3259489764030168,0.3259489764030168
sensor_180,1,0.0006381620931716656,19.013256704980844,3.3116324160902977,9.4,16.85,18.69,20.9725,48.67,19.082701778385772,18.03701923076923,-0.31664039683920886,0.31664039683920886
sensor_159,2,0.0012763241863433313,882.6805111821086,983.0430214415103,0.0,411.0,623.0,966.0,7791.0,862.2756497948017,1172.3106796116506,0.31625125163372386,0.31625125163372386
sensor_122,9,0.00574345883854499,3.898389602053916,0.9041204721731875,1.671,3.202,3.877,4.392,6.889,3.917335625859698,3.6335096153846154,-0.3147925670255475,0.3147925670255475
sensor_452,1,0.0006381620931716656,5.3468155810983395,0.9191963782506015,2.6709,4.7642,5.27145,5.913,13.9776,5.365711764705882,5.081178846153847,-0.3103702773309429,0.3103702773309429
sensor_079,24,0.015315890236119975,0.0034583279325988325,0.023079647668497637,-0.0568,-0.0108,0.0006,0.0132,0.1013,0.002979082696316886,0.010089423076923076,0.30890189975830196,0.30890189975830196
sensor_130,9,0.00574345883854499,0.7449764441591785,0.08253126367202694,0.4199,0.6887,0.75875,0.8145,0.8884,0.7432802613480054,0.7686903846153847,0.3086993455198454,0.3086993455198454
sensor_064,7,0.004467134652201659,20.54210903846154,4.977467453454667,6.4482,17.364800000000002,20.021349999999998,22.813625,48.9882,20.440290521978024,21.967568269230767,0.3076429159640108,0.3076429159640108
sensor_127,9,0.00574345883854499,0.6484775994865212,0.1354088654417417,0.3161,0.5489,0.6539,0.7135,1.175,0.6511958046767538,0.610475,-0.301479200840843,0.301479200840843
