algorithm,params_readable,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_recall_fail,mean_test_precision_fail,mean_test_f1_fail,mean_test_roc_auc,rank_test_balanced_accuracy
logistic_regression,"{""model__C"": 0.1, ""model__penalty"": ""l1"", ""select__k"": 20}",0.6808572146807441,0.07004823068079091,0.6147058823529412,0.14640644458281446,0.23617421759246615,0.7238624937154349,1
logistic_regression,"{""model__C"": 0.01, ""model__penalty"": ""l1"", ""select__k"": 20}",0.6806026897938662,0.06103859232486016,0.6757352941176471,0.1322886224406858,0.22105204202021014,0.7158465309200605,2
logistic_regression,"{""model__C"": 0.01, ""model__penalty"": ""l1"", ""select__k"": 40}",0.6806026897938662,0.06103859232486016,0.6757352941176471,0.1322886224406858,0.22105204202021014,0.7158465309200605,2
logistic_regression,"{""model__C"": 0.01, ""model__penalty"": ""l1"", ""select__k"": 80}",0.6806026897938662,0.06103859232486016,0.6757352941176471,0.1322886224406858,0.22105204202021014,0.7158465309200605,2
logistic_regression,"{""model__C"": 0.01, ""model__penalty"": ""l1"", ""select__k"": 120}",0.6806026897938662,0.06103859232486016,0.6757352941176471,0.1322886224406858,0.22105204202021014,0.7158465309200605,2
logistic_regression,"{""model__C"": 1.0, ""model__penalty"": ""l1"", ""select__k"": 40}",0.6734854198089492,0.04613114802104867,0.5897058823529412,0.14701355513019493,0.23525367377337147,0.7126759678230267,6
logistic_regression,"{""model__C"": 1.0, ""model__penalty"": ""l2"", ""select__k"": 40}",0.671348667672197,0.03327999745568919,0.5897058823529412,0.14509023029580198,0.23280116870176149,0.7135935143288086,7
logistic_regression,"{""model__C"": 0.01, ""model__penalty"": ""l2"", ""select__k"": 20}",0.6690516591251885,0.06740460816030941,0.6022058823529413,0.1396143997924439,0.22632638250060255,0.7161827551533433,8
logistic_regression,"{""model__C"": 0.1, ""model__penalty"": ""l1"", ""select__k"": 40}",0.6652463549522374,0.03832746845484478,0.5911764705882353,0.1387246743186731,0.22451257128700375,0.7190390899949725,9
decision_tree,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 40, ""select__k"": 20}",0.6647247360482654,0.0830454104500912,0.6397058823529411,0.14249434861653135,0.22869003142975744,0.6815280920060331,1
logistic_regression,"{""model__C"": 1.0, ""model__penalty"": ""l1"", ""select__k"": 80}",0.6645456259426847,0.0350353795488199,0.5419117647058823,0.1527409991433035,0.2379133074785249,0.7191113624937154,10
logistic_regression,"{""model__C"": 10.0, ""model__penalty"": ""l2"", ""select__k"": 40}",0.6642439668174963,0.04278909555163299,0.5772058823529412,0.1410893310893311,0.22664169025592246,0.7122706133735546,11
logistic_regression,"{""model__C"": 10.0, ""model__penalty"": ""l1"", ""select__k"": 40}",0.6641842634489693,0.05545778416892202,0.5779411764705882,0.14208664374348143,0.2277966761626391,0.7114033433886375,12
logistic_regression,"{""model__C"": 0.1, ""model__penalty"": ""l2"", ""select__k"": 40}",0.662902212166918,0.03246628718813629,0.5779411764705882,0.14031993505895743,0.22573686948131644,0.713697209653092,13
decision_tree,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 20, ""select__k"": 80}",0.6624340120663651,0.026060049356347932,0.5889705882352941,0.1412342179151732,0.22563949274240008,0.6824597787833082,2
decision_tree,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 20, ""select__k"": 10}",0.6593042986425339,0.05651416759679637,0.5801470588235295,0.14417873916330276,0.22830118597860533,0.6666336726998492,3
logistic_regression,"{""model__C"": 10.0, ""model__penalty"": ""l2"", ""select__k"": 80}",0.6576011814982403,0.04015562944084274,0.5169117647058823,0.15490780351939057,0.23752563734221122,0.6991452991452991,14
logistic_regression,"{""model__C"": 10.0, ""model__penalty"": ""l1"", ""select__k"": 80}",0.6522058823529412,0.05956632812842736,0.5044117647058824,0.1508719918173219,0.2315355943500661,0.689954122674711,15
logistic_regression,"{""model__C"": 1.0, ""model__penalty"": ""l2"", ""select__k"": 80}",0.6519859225741579,0.034765986969531884,0.5176470588235295,0.14762352618258584,0.22936995896502607,0.708839240824535,16
decision_tree,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 40, ""select__k"": 10}",0.65107151835093,0.057243215453136195,0.5183823529411764,0.15124893858929522,0.23325411426798043,0.6826294620412268,4
decision_tree,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 40, ""select__k"": 20}",0.6505216189039719,0.08035285398477704,0.6514705882352941,0.11881464715752688,0.20006015187849718,0.679058257918552,5
decision_tree,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 20, ""select__k"": 10}",0.6472253645047763,0.04854973956476718,0.5183823529411764,0.1430462775528565,0.22383697553228288,0.6649981146304675,6
logistic_regression,"{""model__C"": 0.1, ""model__penalty"": ""l2"", ""select__k"": 20}",0.6461287078934138,0.05994062517053371,0.5529411764705883,0.13000586655836097,0.21037571234714111,0.7154066113624937,17
decision_tree,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 10, ""select__k"": 10}",0.6461035696329814,0.04610062257805216,0.5058823529411764,0.1452531460345332,0.2255151443865408,0.6606350553041729,7
decision_tree,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""select__k"": 10}",0.6459904474610357,0.06547573863802374,0.5441176470588236,0.14038877518335663,0.2213819452167677,0.6789891277023632,8
decision_tree,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""select__k"": 20}",0.6459307440925088,0.07738544765241645,0.5448529411764707,0.13946922626047104,0.2198789679555348,0.6669494720965309,9
decision_tree,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""select__k"": 80}",0.6432032428355957,0.044084102749569434,0.5889705882352941,0.13173418227043043,0.21228601807549174,0.6764941553544495,10
decision_tree,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 10, ""select__k"": 20}",0.6430995475113123,0.07461787575004328,0.5323529411764706,0.1414373786034451,0.2209249476996736,0.6625597033685269,11
logistic_regression,"{""model__C"": 0.01, ""model__penalty"": ""l2"", ""select__k"": 40}",0.643083836098542,0.046976342284118185,0.5904411764705882,0.121283576496656,0.2011251176718245,0.7046568627450981,18
logistic_regression,"{""model__C"": 0.1, ""model__penalty"": ""l2"", ""select__k"": 80}",0.6430115635997988,0.02884678640328797,0.5176470588235295,0.1368056926956252,0.2161849662274113,0.7203839869281047,19
logistic_regression,"{""model__C"": 0.01, ""model__penalty"": ""l2"", ""select__k"": 80}",0.6418614881850175,0.06411764405279767,0.5897058823529411,0.12052672557420183,0.1999066694259314,0.7102375565610859,20
decision_tree,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 40, ""select__k"": 40}",0.6410539215686275,0.08603005449670127,0.6154411764705883,0.11450757723808339,0.19239945238645637,0.6834370286576169,12
decision_tree,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 10, ""select__k"": 40}",0.6385840874811464,0.07199651768182973,0.5669117647058823,0.12542554594748398,0.2043787684159291,0.6535366390145801,13
decision_tree,"{""model__max_depth"": 2, ""model__min_samples_leaf"": 40, ""select__k"": 10}",0.6382730015082957,0.05135653725128951,0.4970588235294118,0.1397981765150854,0.21585507948111476,0.6714696455505279,14
logistic_regression,"{""model__C"": 1.0, ""model__penalty"": ""l1"", ""select__k"": 20}",0.636767848164907,0.04045332382881753,0.5419117647058823,0.12514336184924418,0.2032619453280699,0.707513197586727,21
logistic_regression,"{""model__C"": 1.0, ""model__penalty"": ""l2"", ""select__k"": 20}",0.6351181498240321,0.05292980816222872,0.5411764705882354,0.12385254658452052,0.20146273569141085,0.7096342383107088,22
logistic_regression,"{""model__C"": 10.0, ""model__penalty"": ""l2"", ""select__k"": 20}",0.6350584464555052,0.048028390774921055,0.5419117647058823,0.12377630428126445,0.20133528912441562,0.7058949220713927,23
decision_tree,"{""model__max_depth"": 2, ""model__min_samples_leaf"": 10, ""select__k"": 10}",0.6350144544997487,0.05055537494937522,0.48455882352941176,0.14005114894109094,0.2151482521718778,0.6606790472599295,15
decision_tree,"{""model__max_depth"": 2, ""model__min_samples_leaf"": 20, ""select__k"": 10}",0.6350144544997487,0.05055537494937522,0.48455882352941176,0.14005114894109094,0.2151482521718778,0.6606790472599295,15
logistic_regression,"{""model__C"": 0.1, ""model__penalty"": ""l1"", ""select__k"": 80}",0.6341974610356964,0.053321397752017954,0.5051470588235294,0.1331180250158071,0.21023612789597443,0.723598541980895,24
decision_tree,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 20, ""select__k"": 20}",0.6341911764705882,0.07211395653993591,0.5683823529411764,0.12001093588120179,0.19801850565568313,0.6653311965811965,17
decision_tree,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 40, ""select__k"": 10}",0.6335564353946708,0.07925097224565124,0.5551470588235294,0.12994218528951954,0.2081795612828578,0.684703368526898,18
decision_tree,"{""model__max_depth"": 2, ""model__min_samples_leaf"": 40, ""select__k"": 20}",0.6334118903971846,0.050466346802624816,0.5095588235294117,0.13420910061797517,0.20884522186884746,0.6540739693313222,19
decision_tree,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 10, ""select__k"": 80}",0.6324943438914027,0.03679471451939736,0.5419117647058823,0.12805047893693083,0.20484252589515747,0.6329311211664154,20
decision_tree,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 10, ""select__k"": 20}",0.632107843137255,0.05684623859937101,0.5308823529411765,0.12782978723404254,0.204314356038494,0.6467288838612368,21
decision_tree,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 20, ""select__k"": 80}",0.6320858471593767,0.045452534411698726,0.6522058823529412,0.11147178290553969,0.1884665175530403,0.6663728632478632,22
decision_tree,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 10, ""select__k"": 10}",0.6312280040221216,0.036771056504614825,0.48382352941176465,0.13867262462472035,0.21242014261460485,0.641819067370538,23
